epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3126,3.81562,140.995,2.46251,0.00101,0.00676,1e-05,0,4.02149,141.897,2.66449,0.000641026,0.000641026,0.000641026
2,26.4822,3.5427,48.2574,2.17314,0,0,0,0,4.09501,1348.32,2.71803,0.00130338,0.00130338,0.00130338
3,37.9938,3.20482,22.3112,2.04366,0.00108,0.02027,5e-05,1e-05,3.80336,10.7405,2.58548,0.00196133,0.00196133,0.00196133
4,49.5244,3.50426,14.9661,2.08296,0.00013,0.00338,0,0,4.15417,18.1783,2.60835,0.0019802,0.0019802,0.0019802
5,60.7107,3.70671,14.0172,2.08677,0.00026,0.00676,0,0,4.27908,22.0288,2.90493,0.0019736,0.0019736,0.0019736
6,72.0106,3.60469,7.16452,2.13028,0.00064,0.01351,1e-05,0,4.78006,7.66654,7.04584,0.001967,0.001967,0.001967
7,83.2064,3.41401,6.65523,2.05108,0,0,0,0,4.73116,6.69374,5.3874,0.0019604,0.0019604,0.0019604
8,94.4694,3.2912,5.03519,1.9973,0.06485,0.02703,0.00946,0.00311,3.84412,4.53494,2.61902,0.0019538,0.0019538,0.0019538
9,105.877,3.1926,5.10053,1.87505,0.00464,0.05405,0.0004,0.0001,3.71998,4.83421,2.59088,0.0019472,0.0019472,0.0019472
10,117.099,3.19983,4.64025,1.86245,0.0239,0.10135,0.01888,0.00536,3.50896,4.76476,2.44734,0.0019406,0.0019406,0.0019406
11,128.672,3.04254,4.8427,1.79512,0.00079,0.02027,2e-05,0,3.46388,746.027,2.49176,0.001934,0.001934,0.001934
12,139.87,3.0398,4.44708,1.88748,0.00527,0.12162,0.01924,0.00616,3.58721,5.06895,2.54137,0.0019274,0.0019274,0.0019274
13,151.314,3.06425,4.2532,1.81154,0.00931,0.13176,0.01218,0.00355,3.45744,4.91843,2.49861,0.0019208,0.0019208,0.0019208
14,162.506,2.98155,4.03961,1.76584,0.09201,0.07432,0.02305,0.00633,3.34262,4.93679,2.39749,0.0019142,0.0019142,0.0019142
15,173.913,2.99161,4.06587,1.746,0.02015,0.13514,0.0172,0.00583,3.53254,5.09698,2.35408,0.0019076,0.0019076,0.0019076
16,185.111,3.01916,4.06651,1.7734,0.01305,0.0777,0.00293,0.001,3.47696,6.55969,2.34657,0.001901,0.001901,0.001901
17,196.342,2.98215,3.9119,1.83549,0.05385,0.08446,0.0132,0.00393,3.36838,5.32699,2.16838,0.0018944,0.0018944,0.0018944
18,207.729,2.89616,3.84617,1.7208,0.10599,0.10811,0.03135,0.00803,3.29506,4.43794,2.06429,0.0018878,0.0018878,0.0018878
19,219.152,2.99662,3.95339,1.84244,0.11018,0.11149,0.03039,0.01062,3.45779,4.07955,2.12109,0.0018812,0.0018812,0.0018812
20,230.628,2.7273,3.82072,1.58549,0.00802,0.18919,0.01602,0.00535,3.44191,4.70849,2.05513,0.0018746,0.0018746,0.0018746
21,241.829,2.75949,3.82134,1.64648,0.01818,0.31419,0.03307,0.01036,3.29493,3.87415,1.84263,0.001868,0.001868,0.001868
22,253.119,2.79901,3.74203,1.72454,0.09804,0.16216,0.04374,0.0113,3.17223,3.79545,1.85949,0.0018614,0.0018614,0.0018614
23,264.53,2.87883,3.64643,1.65962,0.15635,0.15203,0.05074,0.01406,3.24304,3.75897,1.92813,0.0018548,0.0018548,0.0018548
24,275.908,2.82454,3.5448,1.71795,0.16129,0.13176,0.04935,0.01518,3.32345,3.77153,2.11022,0.0018482,0.0018482,0.0018482
25,287.398,2.7865,3.41499,1.63937,0.19406,0.15541,0.06299,0.02014,3.35774,3.48704,2.06936,0.0018416,0.0018416,0.0018416
26,298.932,2.63523,3.37433,1.62623,0.18257,0.15878,0.06818,0.02248,3.31194,3.38792,1.90633,0.001835,0.001835,0.001835
27,310.415,2.81391,3.3248,1.67112,0.16757,0.13514,0.05427,0.01689,3.24615,3.40577,1.75536,0.0018284,0.0018284,0.0018284
28,321.607,2.65785,3.43325,1.60685,0.11608,0.125,0.04265,0.01316,3.13804,3.43927,1.71836,0.0018218,0.0018218,0.0018218
29,332.969,2.72047,3.5306,1.55926,0.13703,0.10811,0.04652,0.01452,3.15962,3.42197,1.73211,0.0018152,0.0018152,0.0018152
30,344.19,2.59077,3.56493,1.55423,0.15208,0.14189,0.05726,0.0182,3.14116,3.3382,1.71493,0.0018086,0.0018086,0.0018086
31,355.442,2.78967,3.75259,1.67304,0.16549,0.13176,0.05814,0.01743,3.16899,3.41613,1.73327,0.001802,0.001802,0.001802
32,366.768,2.75689,3.78212,1.69005,0.06037,0.27365,0.06262,0.0206,3.10987,3.7509,1.73906,0.0017954,0.0017954,0.0017954
33,378.107,2.71267,3.58748,1.65048,0.22306,0.11149,0.06712,0.01906,3.0954,3.3619,1.71722,0.0017888,0.0017888,0.0017888
34,389.435,2.63077,3.44208,1.61398,0.20117,0.12847,0.06901,0.01849,3.10003,3.33678,1.72951,0.0017822,0.0017822,0.0017822
35,400.637,2.65061,3.25038,1.6032,0.21025,0.09984,0.06258,0.01894,3.15394,3.45414,1.75436,0.0017756,0.0017756,0.0017756
36,411.937,2.5555,3.23604,1.60282,0.15784,0.17568,0.05676,0.01853,3.03882,3.35068,1.70565,0.001769,0.001769,0.001769
37,423.161,2.59142,3.19362,1.54064,0.1572,0.16554,0.07302,0.02477,2.99547,3.38648,1.66311,0.0017624,0.0017624,0.0017624
38,434.547,2.63176,3.24171,1.59222,0.19827,0.1671,0.07722,0.02401,3.02507,3.04472,1.642,0.0017558,0.0017558,0.0017558
39,445.872,2.48649,3.39396,1.47858,0.17654,0.16554,0.07803,0.02469,3.00958,3.08543,1.64174,0.0017492,0.0017492,0.0017492
40,457.075,2.58453,3.25545,1.59013,0.2104,0.18581,0.08943,0.03322,2.96598,3.1329,1.62765,0.0017426,0.0017426,0.0017426
41,468.528,2.51646,3.1876,1.56254,0.21138,0.17568,0.096,0.03102,2.98198,3.11751,1.64186,0.001736,0.001736,0.001736
42,479.73,2.51044,3.23979,1.54236,0.21604,0.17568,0.08342,0.02849,2.95862,3.10321,1.63816,0.0017294,0.0017294,0.0017294
43,491.016,2.63696,3.3288,1.53628,0.19947,0.13132,0.07001,0.02253,2.96174,3.23999,1.65242,0.0017228,0.0017228,0.0017228
44,502.232,2.49129,3.38287,1.57133,0.20915,0.1723,0.08422,0.02797,2.88345,3.03957,1.59349,0.0017162,0.0017162,0.0017162
45,513.474,2.5279,3.20893,1.54565,0.21732,0.18581,0.09982,0.03276,2.95879,3.07248,1.64686,0.0017096,0.0017096,0.0017096
46,524.799,2.62115,3.438,1.59587,0.05978,0.23649,0.04455,0.01304,3.11033,3.62485,1.70514,0.001703,0.001703,0.001703
47,536.009,2.47236,3.36068,1.60456,0.01794,0.31081,0.03783,0.01264,3.06387,3.69219,1.68948,0.0016964,0.0016964,0.0016964
48,547.382,2.57532,3.24818,1.47571,0.15596,0.19257,0.0626,0.02078,2.95131,3.23159,1.61842,0.0016898,0.0016898,0.0016898
49,558.596,2.51066,3.24272,1.48663,0.1873,0.18581,0.07292,0.02263,3.01828,3.10863,1.63742,0.0016832,0.0016832,0.0016832
50,569.885,2.47767,3.0494,1.55348,0.1784,0.17905,0.06909,0.02164,3.05421,3.15673,1.65578,0.0016766,0.0016766,0.0016766
51,581.103,2.46955,3.04285,1.48965,0.25337,0.14865,0.07453,0.02354,2.95327,3.23777,1.62393,0.00167,0.00167,0.00167
52,592.352,2.48073,2.94948,1.53194,0.18883,0.18581,0.07463,0.0272,2.87707,2.957,1.61995,0.0016634,0.0016634,0.0016634
53,603.681,2.48923,2.93666,1.49927,0.17607,0.19595,0.06693,0.02336,2.90155,3.07901,1.61758,0.0016568,0.0016568,0.0016568
54,614.912,2.44761,2.90141,1.58838,0.15978,0.17905,0.06089,0.02044,2.87849,3.02758,1.60451,0.0016502,0.0016502,0.0016502
55,626.224,2.40412,2.96272,1.55627,0.18039,0.18243,0.07097,0.02622,2.80295,3.03955,1.56901,0.0016436,0.0016436,0.0016436
56,637.432,2.41701,2.86003,1.48471,0.20827,0.19257,0.10611,0.03172,2.93062,3.04048,1.59712,0.001637,0.001637,0.001637
57,648.73,2.50518,3.12008,1.56738,0.20492,0.2027,0.0834,0.02947,2.92162,3.04334,1.62789,0.0016304,0.0016304,0.0016304
58,659.946,2.49548,3.07526,1.47792,0.19656,0.17905,0.07442,0.0266,2.85096,3.06073,1.60496,0.0016238,0.0016238,0.0016238
59,671.281,2.44713,2.8163,1.47493,0.19629,0.21284,0.07917,0.02726,2.79624,2.92911,1.55103,0.0016172,0.0016172,0.0016172
60,682.616,2.35425,2.89314,1.47712,0.20692,0.19833,0.08676,0.0323,2.82515,2.94479,1.5822,0.0016106,0.0016106,0.0016106
61,693.827,2.41076,2.87116,1.50258,0.17747,0.1723,0.07019,0.02471,2.90409,3.12639,1.6278,0.001604,0.001604,0.001604
62,705.135,2.40463,2.86878,1.42256,0.23967,0.17905,0.09963,0.03271,2.94539,3.11478,1.62998,0.0015974,0.0015974,0.0015974
63,716.355,2.39432,2.8579,1.52019,0.23466,0.18646,0.10706,0.03469,2.95371,3.04744,1.64562,0.0015908,0.0015908,0.0015908
64,727.778,2.434,2.91102,1.42508,0.23054,0.2027,0.10364,0.03601,2.94424,2.99673,1.65707,0.0015842,0.0015842,0.0015842
65,739.285,2.33247,2.90362,1.48367,0.23849,0.15878,0.0908,0.02679,2.9886,3.1389,1.68678,0.0015776,0.0015776,0.0015776
66,750.527,2.36221,2.74326,1.4777,0.22376,0.15878,0.09319,0.0279,2.96811,3.09737,1.66949,0.001571,0.001571,0.001571
67,761.863,2.27954,2.73991,1.43544,0.27773,0.23649,0.12019,0.04062,2.95585,2.97319,1.61647,0.0015644,0.0015644,0.0015644
68,773.344,2.36835,2.63546,1.43107,0.25591,0.2027,0.107,0.03641,2.99879,2.98667,1.63829,0.0015578,0.0015578,0.0015578
69,784.699,2.34572,2.72629,1.44846,0.25969,0.19257,0.10768,0.03439,2.98822,2.99512,1.63711,0.0015512,0.0015512,0.0015512
70,795.91,2.24123,2.59431,1.44507,0.2424,0.19595,0.10556,0.0381,3.00115,3.01745,1.66192,0.0015446,0.0015446,0.0015446
71,807.193,2.30597,2.94682,1.44211,0.29264,0.18919,0.10846,0.03609,3.00817,2.99587,1.69454,0.001538,0.001538,0.001538
72,818.403,2.31353,2.63201,1.40363,0.27487,0.18581,0.10316,0.03414,2.96498,3.03267,1.64779,0.0015314,0.0015314,0.0015314
73,829.654,2.34824,2.61617,1.42102,0.28297,0.23311,0.11957,0.0385,2.90368,2.9671,1.62028,0.0015248,0.0015248,0.0015248
74,840.992,2.35254,2.51493,1.41373,0.29962,0.22635,0.1193,0.03903,2.88437,3.03109,1.5934,0.0015182,0.0015182,0.0015182
75,852.209,2.20969,2.49981,1.39813,0.27727,0.18923,0.12823,0.03765,2.87371,3.06835,1.58603,0.0015116,0.0015116,0.0015116
76,863.529,2.31326,2.52634,1.45118,0.22477,0.18243,0.10764,0.0345,2.90483,3.09434,1.60449,0.001505,0.001505,0.001505
77,874.759,2.30829,2.5287,1.44128,0.23054,0.18928,0.10126,0.03284,2.90327,3.03617,1.59091,0.0014984,0.0014984,0.0014984
78,886.04,2.25733,2.48355,1.41904,0.25368,0.18581,0.09518,0.03346,2.90155,2.94149,1.62359,0.0014918,0.0014918,0.0014918
79,897.253,2.33783,2.69099,1.44631,0.27246,0.16068,0.10344,0.03445,2.87434,2.83274,1.62425,0.0014852,0.0014852,0.0014852
80,908.521,2.23061,2.30891,1.40482,0.28242,0.1723,0.11525,0.03729,2.86169,2.73969,1.59357,0.0014786,0.0014786,0.0014786
81,919.864,2.18795,2.4045,1.3952,0.23519,0.20608,0.10992,0.03566,2.82788,2.85649,1.58619,0.001472,0.001472,0.001472
82,931.197,2.27457,2.38352,1.39955,0.22022,0.2027,0.10527,0.03466,2.82609,2.96857,1.59893,0.0014654,0.0014654,0.0014654
83,942.491,2.27268,2.47321,1.42994,0.20414,0.12838,0.0845,0.02757,2.96426,3.30128,1.64918,0.0014588,0.0014588,0.0014588
84,953.701,2.30163,2.51497,1.48497,0.30697,0.15203,0.09929,0.03241,2.98774,3.00355,1.63979,0.0014522,0.0014522,0.0014522
85,964.949,2.22968,2.29169,1.36925,0.26229,0.14894,0.11148,0.03378,2.98145,2.94519,1.64137,0.0014456,0.0014456,0.0014456
86,976.335,2.20621,2.20203,1.39625,0.28481,0.17568,0.11652,0.0373,2.95386,2.9063,1.63041,0.001439,0.001439,0.001439
87,987.554,2.18766,2.20287,1.36792,0.27288,0.17905,0.11462,0.0346,2.98496,2.8955,1.61578,0.0014324,0.0014324,0.0014324
88,998.861,2.30475,2.35387,1.401,0.29743,0.1723,0.10536,0.03371,2.99752,3.10742,1.65298,0.0014258,0.0014258,0.0014258
89,1010.09,2.23007,2.31016,1.37093,0.31813,0.16554,0.115,0.03125,2.94735,3.215,1.65803,0.0014192,0.0014192,0.0014192
90,1021.38,2.17733,2.38912,1.36729,0.31578,0.15878,0.10761,0.03053,2.94913,3.30917,1.64376,0.0014126,0.0014126,0.0014126
91,1032.58,2.12399,2.27091,1.31396,0.25909,0.16216,0.10928,0.03293,3.00781,3.26033,1.64345,0.001406,0.001406,0.001406
92,1043.83,2.1573,2.1931,1.36002,0.30287,0.18581,0.1326,0.03832,3.04103,3.15965,1.65833,0.0013994,0.0013994,0.0013994
93,1055.15,2.15642,2.2108,1.33394,0.36434,0.18581,0.13974,0.04049,2.98831,3.22945,1.63144,0.0013928,0.0013928,0.0013928
94,1066.37,2.14322,2.19903,1.31588,0.31402,0.19257,0.13253,0.03615,2.93649,3.12952,1.62027,0.0013862,0.0013862,0.0013862
95,1077.68,2.14492,2.16411,1.29253,0.29831,0.18919,0.13533,0.03563,2.98866,3.12418,1.64323,0.0013796,0.0013796,0.0013796
96,1088.89,2.20266,2.25789,1.40095,0.34369,0.16554,0.12431,0.03308,3.00906,3.23385,1.67958,0.001373,0.001373,0.001373
97,1100.19,2.11823,2.21465,1.40179,0.31659,0.18243,0.11984,0.03145,2.96181,3.10004,1.67191,0.0013664,0.0013664,0.0013664
98,1111.52,2.28329,2.39147,1.388,0.31046,0.17645,0.11641,0.03257,2.92252,3.0092,1.65492,0.0013598,0.0013598,0.0013598
99,1122.77,2.23148,2.11336,1.32598,0.3076,0.1723,0.11825,0.03869,2.82382,2.93945,1.58964,0.0013532,0.0013532,0.0013532
100,1134.12,2.18595,2.07705,1.39428,0.28648,0.17905,0.11558,0.03636,2.87335,2.91911,1.58957,0.0013466,0.0013466,0.0013466
101,1145.33,2.17068,2.07887,1.35556,0.28412,0.16892,0.11018,0.03129,2.90379,2.9561,1.61421,0.00134,0.00134,0.00134
102,1156.67,2.08379,2.15806,1.34839,0.26502,0.17568,0.10765,0.02896,2.87667,2.89975,1.64266,0.0013334,0.0013334,0.0013334
103,1167.88,2.15272,2.04456,1.33959,0.27346,0.18581,0.10727,0.03243,2.8614,2.84324,1.61479,0.0013268,0.0013268,0.0013268
104,1179.18,2.03427,1.93557,1.3169,0.27911,0.18581,0.11869,0.03352,2.905,2.89142,1.59767,0.0013202,0.0013202,0.0013202
105,1190.46,2.08698,2.06191,1.29766,0.25395,0.17568,0.11666,0.03181,2.98527,3.12351,1.63714,0.0013136,0.0013136,0.0013136
106,1201.7,2.11315,1.9672,1.35851,0.27285,0.18243,0.11309,0.03067,2.99336,3.11082,1.63024,0.001307,0.001307,0.001307
107,1213.03,2.05793,2.10755,1.30021,0.32128,0.1723,0.11672,0.03532,2.90554,3.04596,1.58964,0.0013004,0.0013004,0.0013004
108,1224.24,2.06592,1.96025,1.2497,0.2735,0.18919,0.10039,0.03504,2.89547,3.05489,1.62975,0.0012938,0.0012938,0.0012938
109,1235.54,2.07191,2.08709,1.25165,0.271,0.1723,0.10685,0.03483,2.91808,3.0649,1.65646,0.0012872,0.0012872,0.0012872
110,1246.76,2.03199,2.07275,1.29771,0.27706,0.17905,0.11421,0.03317,2.93912,3.08421,1.69865,0.0012806,0.0012806,0.0012806
111,1258.04,1.97256,2.01318,1.25243,0.32488,0.17568,0.1267,0.03475,2.91983,3.06808,1.66051,0.001274,0.001274,0.001274
112,1269.25,2.14378,2.115,1.35476,0.26899,0.2027,0.12125,0.03627,2.87194,2.92982,1.61024,0.0012674,0.0012674,0.0012674
113,1280.5,2.06106,2.06639,1.3197,0.31978,0.19932,0.12628,0.03346,2.9559,2.90384,1.66669,0.0012608,0.0012608,0.0012608
114,1291.83,2.10407,1.96112,1.29816,0.32752,0.1723,0.1273,0.0343,2.93803,3.05445,1.6425,0.0012542,0.0012542,0.0012542
115,1303.04,2.04366,2.03563,1.30889,0.31806,0.19595,0.12763,0.03707,2.87907,3.01619,1.60818,0.0012476,0.0012476,0.0012476
116,1314.35,2.08965,2.17212,1.28472,0.27253,0.18919,0.10656,0.03054,2.87185,2.94303,1.62264,0.001241,0.001241,0.001241
117,1325.56,2.08997,1.98113,1.31366,0.26744,0.2027,0.10326,0.02936,2.88982,2.93497,1.62174,0.0012344,0.0012344,0.0012344
118,1336.91,2.00598,1.91041,1.31586,0.25659,0.18243,0.10277,0.02898,2.92503,3.02136,1.65458,0.0012278,0.0012278,0.0012278
119,1348.14,1.99778,2.06336,1.3,0.28386,0.16892,0.09605,0.03007,2.9714,3.09587,1.65259,0.0012212,0.0012212,0.0012212
120,1359.38,1.99519,1.9051,1.31397,0.29055,0.17905,0.11027,0.03504,2.93955,3.07132,1.65854,0.0012146,0.0012146,0.0012146
121,1370.72,2.0151,1.87523,1.2907,0.34467,0.17568,0.12085,0.03354,2.93986,3.0717,1.6776,0.001208,0.001208,0.001208
122,1382.03,1.94381,1.93199,1.28987,0.27909,0.20404,0.11532,0.03151,2.92631,3.13834,1.68895,0.0012014,0.0012014,0.0012014
123,1393.33,2.02,2.0493,1.30712,0.33406,0.15203,0.11238,0.03178,2.97728,3.3645,1.71985,0.0011948,0.0011948,0.0011948
124,1404.56,2.05011,1.87786,1.32892,0.25556,0.19932,0.12105,0.03512,3.02822,3.25249,1.69809,0.0011882,0.0011882,0.0011882
125,1415.84,1.9538,1.79634,1.26056,0.22522,0.19543,0.10931,0.03277,2.98204,3.17086,1.67876,0.0011816,0.0011816,0.0011816
126,1427.11,1.89406,1.9791,1.21926,0.25399,0.16892,0.11688,0.03358,2.9435,3.17125,1.70659,0.001175,0.001175,0.001175
127,1438.35,2.03186,2.02999,1.25995,0.36385,0.15203,0.12872,0.03589,2.93152,3.26968,1.71063,0.0011684,0.0011684,0.0011684
128,1449.69,1.99878,1.87003,1.29662,0.45757,0.15203,0.12431,0.03642,2.94578,3.04607,1.66631,0.0011618,0.0011618,0.0011618
129,1460.9,1.94653,1.844,1.22499,0.29921,0.19257,0.11604,0.03532,2.91218,2.90748,1.65661,0.0011552,0.0011552,0.0011552
130,1472.22,1.96506,1.88056,1.25053,0.28274,0.19932,0.11584,0.03569,2.84456,2.88379,1.62904,0.0011486,0.0011486,0.0011486
131,1483.62,1.9316,1.78095,1.2621,0.28844,0.17905,0.1173,0.03353,2.85841,3.00935,1.6484,0.001142,0.001142,0.001142
132,1494.91,1.93683,1.74035,1.27346,0.29979,0.18243,0.12802,0.03638,2.92877,2.99168,1.65864,0.0011354,0.0011354,0.0011354
133,1506.12,1.94946,1.65603,1.22641,0.31662,0.20608,0.14344,0.04142,2.94307,2.93003,1.6549,0.0011288,0.0011288,0.0011288
134,1517.63,1.94893,1.75222,1.24027,0.32859,0.2027,0.14222,0.0412,2.93752,2.96963,1.62689,0.0011222,0.0011222,0.0011222
135,1528.94,1.84346,1.67537,1.20502,0.26065,0.17905,0.12139,0.03757,2.95821,3.08652,1.63934,0.0011156,0.0011156,0.0011156
136,1540.15,1.82584,1.65561,1.17038,0.23982,0.15203,0.10885,0.03383,2.95185,3.25587,1.62949,0.001109,0.001109,0.001109
137,1551.47,1.83188,1.67978,1.20491,0.30667,0.16554,0.09923,0.02933,3.00925,3.1,1.64479,0.0011024,0.0011024,0.0011024
138,1562.68,1.90661,1.7345,1.22158,0.26882,0.15541,0.09358,0.02729,3.00435,3.10726,1.65863,0.0010958,0.0010958,0.0010958
139,1574.03,1.88752,1.7029,1.19063,0.33737,0.14865,0.11499,0.02914,2.94932,3.22506,1.6304,0.0010892,0.0010892,0.0010892
140,1585.24,1.90608,1.79873,1.21244,0.25848,0.18919,0.11594,0.03229,2.93519,3.06366,1.64174,0.0010826,0.0010826,0.0010826
141,1596.47,1.87757,1.70026,1.20748,0.328,0.16892,0.11918,0.03746,2.95835,3.04516,1.6643,0.001076,0.001076,0.001076
142,1607.79,1.87499,1.57615,1.24028,0.32555,0.17905,0.12291,0.03551,2.92414,3.06682,1.6025,0.0010694,0.0010694,0.0010694
143,1619,1.88819,1.68654,1.20857,0.31541,0.18211,0.12978,0.03522,2.92483,3.06415,1.5916,0.0010628,0.0010628,0.0010628
144,1630.3,1.8805,1.63979,1.22793,0.36023,0.19257,0.13724,0.03769,2.94785,3.05439,1.61421,0.0010562,0.0010562,0.0010562
145,1641.58,1.93288,1.62182,1.23,0.28624,0.16892,0.10414,0.03181,2.99355,3.20927,1.64543,0.0010496,0.0010496,0.0010496
146,1652.87,1.79714,1.56832,1.21639,0.27088,0.1723,0.10786,0.03118,2.97503,3.24402,1.64078,0.001043,0.001043,0.001043
147,1664.05,1.78552,1.58479,1.17413,0.22821,0.1723,0.10149,0.02866,2.99849,3.23486,1.65348,0.0010364,0.0010364,0.0010364
148,1675.37,1.93509,1.61399,1.20875,0.29877,0.19257,0.12832,0.03466,2.98369,3.17079,1.67102,0.0010298,0.0010298,0.0010298
149,1686.74,1.82442,1.55528,1.15175,0.28305,0.21622,0.1354,0.03479,3.06186,3.20105,1.69053,0.0010232,0.0010232,0.0010232
150,1698.08,1.88381,1.55976,1.22074,0.31497,0.2027,0.12191,0.03185,3.12692,3.26878,1.72928,0.0010166,0.0010166,0.0010166
