epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4793,4.0886,91.6058,2.17652,0.00032,0.01481,1e-05,0,3.75532,216.035,2.29624,0.000641026,0.000641026,0.000641026
2,26.6208,3.49694,32.6087,1.88175,0.00043,0.02222,1e-05,1e-05,3.80016,1033.78,2.22364,0.00130338,0.00130338,0.00130338
3,38.0209,3.25503,16.6033,1.78115,0.00013,0.00741,0,0,3.66715,401.223,1.97718,0.00196133,0.00196133,0.00196133
4,49.2923,3.26618,15.858,1.73945,0.00103,0.05926,6e-05,2e-05,3.52581,225.886,1.89865,0.0019802,0.0019802,0.0019802
5,60.705,3.18107,8.36974,1.68615,0.08586,0.06667,0.01019,0.00351,3.59673,6.63807,2.29474,0.0019736,0.0019736,0.0019736
6,72.304,3.29376,7.33441,1.73339,0.00013,0.00741,0,0,3.92025,21.0914,3.23385,0.001967,0.001967,0.001967
7,83.815,3.06901,4.72978,1.65639,0.00128,0.07407,0.0001,2e-05,3.71939,171.181,2.64524,0.0019604,0.0019604,0.0019604
8,95.2396,2.94081,4.09453,1.56532,0.00341,0.0963,0.00052,0.00016,3.61866,55.3796,3.47611,0.0019538,0.0019538,0.0019538
9,106.753,2.83365,3.5731,1.60487,0.06891,0.08148,0.0183,0.00529,3.39079,5.11013,1.91029,0.0019472,0.0019472,0.0019472
10,118.348,2.93011,3.78275,1.5453,0.09145,0.06667,0.01899,0.0061,3.44924,5.66428,1.9135,0.0019406,0.0019406,0.0019406
11,129.961,2.72063,3.34494,1.49217,0.07054,0.0963,0.01674,0.00491,3.21935,5.02293,1.85846,0.001934,0.001934,0.001934
12,141.231,2.65523,4.07204,1.50662,0.03166,0.13333,0.00834,0.00228,3.21887,6.59363,1.84974,0.0019274,0.0019274,0.0019274
13,152.415,2.62041,3.178,1.42364,0.05046,0.14815,0.01576,0.00463,3.06032,4.35366,1.71628,0.0019208,0.0019208,0.0019208
14,163.6,2.49533,2.93228,1.3962,0.1076,0.13333,0.04064,0.01052,3.13346,3.74936,1.74766,0.0019142,0.0019142,0.0019142
15,174.957,2.46056,2.75436,1.40156,0.09726,0.14074,0.03922,0.01235,3.12898,3.59442,1.77779,0.0019076,0.0019076,0.0019076
16,186.35,2.33473,2.65682,1.35098,0.08298,0.13333,0.02495,0.00584,3.22559,4.26106,1.79167,0.001901,0.001901,0.001901
17,197.596,2.38031,2.33599,1.36938,0.18494,0.1037,0.05253,0.014,3.1015,4.30233,1.68861,0.0018944,0.0018944,0.0018944
18,208.959,2.2467,2.25347,1.30942,0.10721,0.13333,0.04941,0.0138,3.0822,4.46652,1.66814,0.0018878,0.0018878,0.0018878
19,220.118,2.12645,2.15265,1.27812,0.26518,0.0963,0.07146,0.02308,3.1525,3.97464,1.7581,0.0018812,0.0018812,0.0018812
20,231.552,2.08554,2.05189,1.25396,0.1514,0.12593,0.05095,0.01851,3.27995,3.96594,1.82044,0.0018746,0.0018746,0.0018746
21,242.769,2.07618,1.97189,1.25611,0.19802,0.08889,0.04358,0.01348,3.32457,3.92732,1.84191,0.001868,0.001868,0.001868
22,253.924,1.98046,1.8772,1.23571,0.18762,0.05926,0.03228,0.00947,3.24138,4.13492,1.78454,0.0018614,0.0018614,0.0018614
23,265.131,1.90608,1.75982,1.17659,0.09822,0.11852,0.0301,0.00977,3.16376,4.27494,1.74235,0.0018548,0.0018548,0.0018548
24,276.341,1.89343,1.63215,1.16865,0.1331,0.08148,0.03401,0.01059,3.2377,4.35962,1.7967,0.0018482,0.0018482,0.0018482
25,287.57,1.85463,1.51083,1.15981,0.12988,0.07407,0.03005,0.01221,3.3498,4.44986,1.83106,0.0018416,0.0018416,0.0018416
26,298.889,1.88708,1.56754,1.19417,0.1068,0.06667,0.02611,0.01163,3.37325,4.4223,1.81212,0.001835,0.001835,0.001835
27,310.214,1.7589,1.4905,1.15305,0.21963,0.07407,0.03651,0.01165,3.26169,4.20175,1.81676,0.0018284,0.0018284,0.0018284
28,321.501,1.66193,1.39925,1.1151,0.12573,0.0963,0.03869,0.01675,3.30502,3.98525,1.7768,0.0018218,0.0018218,0.0018218
29,332.723,1.62661,1.27145,1.09522,0.1569,0.11111,0.04435,0.01822,3.28411,4.04411,1.76867,0.0018152,0.0018152,0.0018152
30,344.162,1.60105,1.2696,1.10321,0.12141,0.0963,0.03167,0.01129,3.40341,4.18359,1.80509,0.0018086,0.0018086,0.0018086
31,355.348,1.55823,1.18112,1.06647,0.12285,0.08148,0.02559,0.00954,3.34784,4.20047,1.81244,0.001802,0.001802,0.001802
32,366.565,1.49431,1.15044,1.06795,0.09346,0.0963,0.01668,0.00538,3.34182,4.61262,1.82655,0.0017954,0.0017954,0.0017954
33,377.761,1.4272,1.09646,1.02288,0.0459,0.067,0.00836,0.00275,3.38743,5.13177,1.83425,0.0017888,0.0017888,0.0017888
34,389.016,1.39308,1.02491,1.02853,0.09247,0.08889,0.0135,0.00408,3.37208,4.88208,1.82192,0.0017822,0.0017822,0.0017822
