epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5565,3.66246,76.8019,2.0227,0.00016,0.00741,0,0,3.52335,158.831,1.99391,0.000641026,0.000641026,0.000641026
2,26.7749,3.10972,25.6445,1.65217,0.00013,0.00741,0,0,3.31153,234.377,1.76212,0.00130338,0.00130338,0.00130338
3,38.2642,3.03607,12.6713,1.64757,0.00064,0.03704,3e-05,1e-05,3.20246,33.566,1.70838,0.00196133,0.00196133,0.00196133
4,49.7472,2.89509,9.06019,1.62333,0.00013,0.00741,0,0,3.24669,10.5807,1.80975,0.0019802,0.0019802,0.0019802
5,61.0049,2.89203,6.4133,1.57149,0.0009,0.05185,6e-05,1e-05,3.21088,7.48506,1.75964,0.0019736,0.0019736,0.0019736
6,72.5105,2.74009,5.60582,1.50119,0.0727,0.13333,0.04076,0.00943,3.15297,5.08689,1.79117,0.001967,0.001967,0.001967
7,83.9559,2.68254,4.89887,1.46965,0.04608,0.05185,0.00981,0.00236,3.31638,5.04655,2.02521,0.0019604,0.0019604,0.0019604
8,95.3054,2.59654,3.98961,1.41943,0.04913,0.01481,0.00953,0.00172,3.26656,4.37804,1.777,0.0019538,0.0019538,0.0019538
9,106.587,2.46582,3.65943,1.41748,0.03389,0.05926,0.00754,0.002,3.48219,5.33807,1.85391,0.0019472,0.0019472,0.0019472
10,117.84,2.49383,3.24149,1.35666,0.05598,0.08148,0.01633,0.0053,3.47283,4.75724,1.95974,0.0019406,0.0019406,0.0019406
11,129.133,2.40041,3.27448,1.39088,0.04641,0.07407,0.00844,0.00271,3.36012,4.75833,1.99517,0.001934,0.001934,0.001934
12,140.398,2.32876,3.50457,1.38595,0.05531,0.12593,0.01272,0.00402,3.22278,4.58728,1.91569,0.0019274,0.0019274,0.0019274
13,151.672,2.19426,3.28461,1.27932,0.05544,0.08148,0.01586,0.00485,3.18326,4.56404,1.80726,0.0019208,0.0019208,0.0019208
14,162.951,2.20353,2.97702,1.25264,0.08911,0.06667,0.03326,0.00895,3.35085,3.80527,1.74375,0.0019142,0.0019142,0.0019142
15,174.228,2.15968,2.67978,1.26405,0.07382,0.07407,0.01867,0.00695,3.39099,4.05014,1.81483,0.0019076,0.0019076,0.0019076
16,185.527,2.09776,2.49512,1.24862,0.09011,0.07407,0.03383,0.00911,3.41839,3.93096,1.9203,0.001901,0.001901,0.001901
17,196.794,2.10085,2.32216,1.25942,0.05403,0.05185,0.01265,0.00385,3.59079,4.34617,2.14632,0.0018944,0.0018944,0.0018944
18,208.092,2.00327,2.05397,1.21633,0.10841,0.06667,0.01756,0.00461,3.51303,4.0926,2.1823,0.0018878,0.0018878,0.0018878
19,219.355,1.83352,1.81826,1.17062,0.08443,0.11111,0.02166,0.00562,3.38043,4.15721,1.8791,0.0018812,0.0018812,0.0018812
20,230.634,1.80087,1.76333,1.15443,0.10191,0.08148,0.02069,0.00492,3.35967,3.95035,1.89302,0.0018746,0.0018746,0.0018746
21,242.101,1.76659,1.82737,1.15104,0.12378,0.08148,0.02387,0.00557,3.32594,4.00032,1.86947,0.001868,0.001868,0.001868
22,253.495,1.78673,1.6222,1.14265,0.12021,0.05926,0.01974,0.00414,3.47809,4.15779,1.90687,0.0018614,0.0018614,0.0018614
23,264.797,1.68395,1.50336,1.09614,0.06695,0.08889,0.01821,0.00442,3.41975,4.02119,1.88564,0.0018548,0.0018548,0.0018548
24,276.064,1.61443,1.40868,1.06954,0.11039,0.05185,0.01894,0.00481,3.43105,4.13442,1.91249,0.0018482,0.0018482,0.0018482
25,287.348,1.57504,1.34138,1.06718,0.09164,0.0963,0.02187,0.00512,3.41613,4.22327,1.85817,0.0018416,0.0018416,0.0018416
26,298.625,1.54777,1.27799,1.07025,0.08572,0.08148,0.0195,0.00575,3.43257,4.29435,1.86791,0.001835,0.001835,0.001835
27,310.003,1.48405,1.15408,1.05465,0.14801,0.08889,0.03263,0.01016,3.40813,4.32515,1.83003,0.0018284,0.0018284,0.0018284
28,321.493,1.46223,1.12303,1.02345,0.09914,0.05185,0.02978,0.00827,3.54836,4.71182,1.92519,0.0018218,0.0018218,0.0018218
29,332.79,1.33116,0.9992,0.99387,0.07035,0.05185,0.0199,0.00547,3.54252,4.64856,1.94786,0.0018152,0.0018152,0.0018152
30,344.168,1.31416,0.97511,1.00941,0.1757,0.05185,0.01666,0.00453,3.53306,4.41985,1.96621,0.0018086,0.0018086,0.0018086
31,355.455,1.23744,0.92268,0.97504,0.07373,0.04444,0.01224,0.00411,3.55465,4.39753,2.00755,0.001802,0.001802,0.001802
32,366.739,1.17362,0.89174,0.95878,0.1473,0.06667,0.02212,0.00624,3.42223,4.2642,1.9028,0.0017954,0.0017954,0.0017954
33,378.036,1.0866,0.79921,0.93379,0.09396,0.05185,0.01596,0.00532,3.47756,4.65647,1.97238,0.0017888,0.0017888,0.0017888
34,389.337,1.033,0.7668,0.93546,0.15683,0.05926,0.01783,0.0064,3.50277,4.70195,1.94662,0.0017822,0.0017822,0.0017822
35,400.768,1.07858,0.73195,0.92265,0.12312,0.05926,0.0191,0.00534,3.58738,4.76428,1.96854,0.0017756,0.0017756,0.0017756
36,412.077,1.08015,0.73989,0.9454,0.151,0.08148,0.02443,0.0082,3.54017,4.62405,2.0038,0.001769,0.001769,0.001769
