epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7881,3.37639,61.5946,1.88821,0.00036,0.00741,1e-05,0,3.53189,169.775,2.06302,0.000641026,0.000641026,0.000641026
2,27.1427,3.06796,21.6112,1.63212,0.00013,0.00741,0,0,3.27234,34.4967,1.73296,0.00130338,0.00130338,0.00130338
3,38.8456,3.01643,12.9622,1.65976,0.00038,0.02222,1e-05,0,3.26937,60.7482,1.74329,0.00196133,0.00196133,0.00196133
4,50.4285,3.1101,10.861,1.68962,0.00013,0.00741,0,0,3.35662,10.4521,1.97969,0.0019802,0.0019802,0.0019802
5,62.0737,3.14914,6.3284,1.63316,0.04542,0.08889,0.00817,0.00176,3.39046,9.69564,1.94736,0.0019736,0.0019736,0.0019736
6,73.6611,3.02055,5.64806,1.58671,0.00077,0.04444,4e-05,1e-05,3.36465,5.48558,2.20824,0.001967,0.001967,0.001967
7,85.0719,2.89582,4.38652,1.52437,0.00359,0.20741,0.00237,0.00058,3.3124,5.07316,1.90469,0.0019604,0.0019604,0.0019604
8,96.4593,2.82026,4.01355,1.49935,0.19777,0.0963,0.04514,0.01013,3.13694,3.68829,1.89873,0.0019538,0.0019538,0.0019538
9,107.971,2.65152,3.66845,1.47772,0.17347,0.1037,0.0461,0.01191,3.14343,4.67613,1.75713,0.0019472,0.0019472,0.0019472
10,119.371,2.8501,4.04217,1.47754,0.20302,0.08148,0.05248,0.01039,3.40711,3.86725,1.92768,0.0019406,0.0019406,0.0019406
11,130.561,2.6406,3.32451,1.46427,0.08086,0.15556,0.04008,0.0109,3.19678,4.33978,1.83251,0.001934,0.001934,0.001934
12,141.739,2.49877,3.34471,1.42496,0.11525,0.07407,0.02244,0.00701,3.27102,3.80507,1.75956,0.0019274,0.0019274,0.0019274
13,152.935,2.5195,2.937,1.36732,0.15085,0.11852,0.05168,0.01902,3.23825,3.54702,1.71983,0.0019208,0.0019208,0.0019208
14,164.378,2.42607,2.73585,1.31326,0.13402,0.12593,0.04118,0.01266,3.14408,3.49285,1.67089,0.0019142,0.0019142,0.0019142
15,175.572,2.33118,2.54957,1.30812,0.10542,0.12593,0.03211,0.00926,3.12424,3.65444,1.71825,0.0019076,0.0019076,0.0019076
16,186.752,2.23989,2.43081,1.30138,0.04365,0.17037,0.01446,0.00461,3.07148,4.7864,1.65915,0.001901,0.001901,0.001901
17,197.955,2.22788,2.37466,1.28627,0.08818,0.0963,0.04197,0.01625,3.11333,3.40432,1.62673,0.0018944,0.0018944,0.0018944
18,209.15,2.11467,2.12972,1.26235,0.102,0.11852,0.03929,0.01551,3.06822,3.43813,1.6258,0.0018878,0.0018878,0.0018878
19,220.367,2.03733,2.07968,1.20873,0.09363,0.13775,0.03404,0.01143,3.18186,3.70119,1.66776,0.0018812,0.0018812,0.0018812
20,231.598,2.06709,2.07005,1.22629,0.16823,0.13333,0.05747,0.01865,3.13868,3.57488,1.63019,0.0018746,0.0018746,0.0018746
21,242.812,1.99496,2.03603,1.18786,0.14627,0.15556,0.05042,0.01432,3.06414,3.84662,1.6389,0.001868,0.001868,0.001868
22,254.044,1.92572,1.8707,1.1893,0.12194,0.11111,0.03887,0.01268,3.07384,3.69555,1.66888,0.0018614,0.0018614,0.0018614
23,265.256,1.87092,1.75248,1.15191,0.10039,0.08889,0.02827,0.00949,3.1588,3.65056,1.70821,0.0018548,0.0018548,0.0018548
24,276.469,1.67448,1.60907,1.08372,0.11621,0.06667,0.03328,0.01244,3.25215,3.57904,1.75235,0.0018482,0.0018482,0.0018482
25,287.692,1.70096,1.54732,1.08823,0.15354,0.0963,0.04446,0.01457,3.18606,3.62409,1.65101,0.0018416,0.0018416,0.0018416
26,298.956,1.67084,1.46548,1.09913,0.14877,0.1037,0.03012,0.00949,3.1482,3.78223,1.66586,0.001835,0.001835,0.001835
27,310.364,1.62177,1.36944,1.09736,0.11737,0.11852,0.02644,0.00932,3.13416,3.90456,1.62394,0.0018284,0.0018284,0.0018284
28,321.7,1.5791,1.32744,1.03728,0.1465,0.1037,0.03721,0.01059,3.16347,3.98162,1.65462,0.0018218,0.0018218,0.0018218
