epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8882,3.91714,93.1065,2.23711,0.00045,0.02222,1e-05,0,3.64353,170.748,1.97,0.000641026,0.000641026,0.000641026
2,27.1554,3.2716,31.5984,1.79343,0.00297,0.08889,0.00035,9e-05,3.50462,286.653,1.84847,0.00130338,0.00130338,0.00130338
3,38.6262,3.06538,15.9029,1.72588,0.00086,0.02963,3e-05,1e-05,3.36843,427.219,1.77464,0.00196133,0.00196133,0.00196133
4,50.0029,3.28846,16.0423,1.77556,0.00051,0.02963,2e-05,0,3.45827,2954.8,1.89031,0.0019802,0.0019802,0.0019802
5,61.1906,3.3237,8.46798,1.77796,0,0,0,0,3.57855,273.776,2.28261,0.0019736,0.0019736,0.0019736
6,72.6552,3.24512,7.01703,1.69441,0.00047,0.01481,2e-05,1e-05,3.57673,18.4229,1.94098,0.001967,0.001967,0.001967
7,84.1092,3.01382,5.1325,1.59073,0.00282,0.16296,0.00201,0.00053,3.44559,6.76812,2.09413,0.0019604,0.0019604,0.0019604
8,95.611,3.08858,4.57401,1.61455,0.00525,0.28148,0.01166,0.00244,3.47518,4.03705,1.95999,0.0019538,0.0019538,0.0019538
9,106.973,2.82145,4.28836,1.6007,0.04551,0.11111,0.01125,0.00297,3.37869,5.28149,2.12029,0.0019472,0.0019472,0.0019472
10,118.496,2.71789,4.96179,1.51447,0.01555,0.12593,0.00319,0.00092,3.39827,24.2785,2.33186,0.0019406,0.0019406,0.0019406
11,129.764,2.79504,3.36458,1.54295,0.12911,0.11111,0.03292,0.01099,3.20803,4.30963,1.83933,0.001934,0.001934,0.001934
12,141.324,2.61334,3.19082,1.58751,0.03491,0.04444,0.00782,0.00241,3.13473,4.36601,1.76925,0.0019274,0.0019274,0.0019274
13,152.569,2.44587,3.01311,1.42515,0.04828,0.07407,0.01736,0.005,3.03538,4.08148,1.79786,0.0019208,0.0019208,0.0019208
14,163.854,2.51374,3.43625,1.40347,0.11889,0.0963,0.02409,0.00676,3.3156,10.9404,1.86548,0.0019142,0.0019142,0.0019142
15,175.125,2.56557,2.96355,1.41402,0.01924,0.06001,0.00485,0.00122,3.27671,6.98978,1.81466,0.0019076,0.0019076,0.0019076
16,186.484,2.47151,2.92255,1.37774,0.07185,0.06667,0.02638,0.00674,3.271,3.60322,1.94609,0.001901,0.001901,0.001901
17,197.73,2.37708,2.61778,1.35729,0.11241,0.11852,0.03565,0.01043,3.23184,3.65896,1.78806,0.0018944,0.0018944,0.0018944
18,209.039,2.34484,2.35814,1.3388,0.12536,0.13333,0.04555,0.01405,3.28431,3.58202,1.78191,0.0018878,0.0018878,0.0018878
19,220.509,2.18553,2.10311,1.30096,0.1323,0.14815,0.03488,0.01003,3.48787,3.79997,1.88196,0.0018812,0.0018812,0.0018812
20,231.787,2.18346,2.12042,1.30049,0.17765,0.14815,0.0456,0.01259,3.30943,3.82819,1.81204,0.0018746,0.0018746,0.0018746
21,243.063,2.06893,1.99384,1.28227,0.12134,0.17037,0.04372,0.0126,3.15421,3.78717,1.728,0.001868,0.001868,0.001868
22,254.538,2.00183,1.87841,1.26951,0.11844,0.17778,0.0449,0.0137,3.11163,3.97131,1.72778,0.0018614,0.0018614,0.0018614
23,266.312,1.92963,1.76395,1.20721,0.13898,0.16296,0.04673,0.01426,3.13285,3.84208,1.7762,0.0018548,0.0018548,0.0018548
24,277.84,1.8472,1.68525,1.16212,0.15524,0.1037,0.05705,0.0127,3.16276,3.80966,1.74997,0.0018482,0.0018482,0.0018482
25,289.232,1.83561,1.52082,1.18376,0.14296,0.11852,0.04429,0.01164,3.12676,3.94975,1.77523,0.0018416,0.0018416,0.0018416
26,300.671,1.78351,1.52977,1.19116,0.15969,0.1037,0.04911,0.01243,3.11521,4.00115,1.69299,0.001835,0.001835,0.001835
27,312.159,1.64128,1.3963,1.14855,0.08342,0.08148,0.01953,0.00495,3.21229,4.15242,1.73255,0.0018284,0.0018284,0.0018284
28,323.449,1.68585,1.34168,1.11547,0.18639,0.08889,0.04268,0.00965,3.18954,4.02085,1.72777,0.0018218,0.0018218,0.0018218
29,334.805,1.57738,1.23731,1.1025,0.09452,0.11852,0.03311,0.00873,3.16151,4.11848,1.73304,0.0018152,0.0018152,0.0018152
30,346.242,1.55428,1.24475,1.10822,0.10685,0.08889,0.02229,0.00639,3.40509,4.35096,1.86134,0.0018086,0.0018086,0.0018086
31,357.513,1.54629,1.15282,1.07632,0.08306,0.07407,0.02405,0.00642,3.27058,4.48223,1.77858,0.001802,0.001802,0.001802
32,368.805,1.50835,1.13604,1.07297,0.07891,0.04444,0.02134,0.00516,3.20116,4.54414,1.7591,0.0017954,0.0017954,0.0017954
33,380.086,1.44232,1.03161,1.03283,0.09792,0.07407,0.02708,0.00653,3.29315,4.54935,1.82296,0.0017888,0.0017888,0.0017888
34,391.368,1.47173,1.04395,1.04438,0.10545,0.08148,0.02227,0.00601,3.36629,4.48274,1.87735,0.0017822,0.0017822,0.0017822
